Age,Period,Value,Status,Units,Magnitude,Series_title_1,Sex
65 +,2020.08,55296,P,Number ,0,Actual ,Male
Under 15,2019.05,2190,P,Number ,0,Actual ,Female
Under 15,2019.06,2158,P,Number ,0,Actual ,Female
Under 15,2019.07,2259,P,Number ,0,Actual ,Female
Under 15,2019.08,2104,P,Number ,0,Actual ,Female
Under 15,2019.09,2161,P,Number ,0,Actual ,Female
Under 15,2019.1,2345,P,Number ,0,Actual ,Female
Under 15,2019.11,2295,P,Number ,0,Actual ,Female
Under 15,2019.12,2581,P,Number ,0,Actual ,Female
Under 15,2020.01,2576,P,Number ,0,Actual ,Female
Under 15,2020.02,2381,P,Number ,0,Actual ,Female
Under 15,2020.03,2260,P,Number ,0,Actual ,Female
Under 15,2020.04,1808,P,Number ,0,Actual ,Female
Under 15,2020.05,1890,P,Number ,0,Actual ,Female
Under 15,2020.06,1913,P,Number ,0,Actual ,Female
Under 15,2020.07,2038,P,Number ,0,Actual ,Female
Under 15,2020.08,1902,P,Number ,0,Actual ,Female
Under 15,2019.05,2159,P,Number ,0,Actual ,Male
Under 15,2019.06,2098,P,Number ,0,Actual ,Male
Under 15,2019.07,2233,P,Number ,0,Actual ,Male
Under 15,2019.08,2103,P,Number ,0,Actual ,Male
Under 15,2019.09,2140,P,Number ,0,Actual ,Male
Under 15,2019.1,2492,P,Number ,0,Actual ,Male
Under 15,2019.11,2315,P,Number ,0,Actual ,Male
Under 15,2019.12,2693,P,Number ,0,Actual ,Male
Under 15,2020.01,2663,P,Number ,0,Actual ,Male
Under 15,2020.02,2374,P,Number ,0,Actual ,Male
Under 15,2020.03,2277,P,Number ,0,Actual ,Male
Under 15,2020.04,1928,P,Number ,0,Actual ,Male
Under 15,2020.05,1955,P,Number ,0,Actual ,Male
Under 15,2020.06,1929,P,Number ,0,Actual ,Male
Under 15,2020.07,2067,P,Number ,0,Actual ,Male
Under 15,2020.08,1884,P,Number ,0,Actual ,Male
